Reading isolectic sets from input file: /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008-isolectic-areas.tsv
Will write semantic map in DOT format to output files with prefix /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008
Extracted isolectic sets from 12 languages.
Proceeding to separating set size 0, 335 potentially deletable links left.
  (ACT OF BREATHING,AIR OR WIND) = 9.336231899432455
  (ACT OF BREATHING,BE ON VACATION) = 2.055300069761613
  (ACT OF BREATHING,BLOW) = 9.186112868932927
  (ACT OF BREATHING,BLOW (WIND)) = 4.1915500075824035
  (ACT OF BREATHING,BREATHE) = 10.294711236621662
  (ACT OF BREATHING,CEASE TO DO) = 1.0269269074201666
  (ACT OF BREATHING,COLD AIR) = 1.0336930578119157
  (ACT OF BREATHING,DIVINE BREATH) = 4.025104712206314
  (ACT OF BREATHING,GHOST) = 5.142234710301675
  (ACT OF BREATHING,HEART) = 7.243419038545148
  (ACT OF BREATHING,INSPIRATION) = 4.030613620659908
  (ACT OF BREATHING,INTELLIGENCE) = 2.0558516042398356
  (ACT OF BREATHING,LIFE) = 11.251447624024578
  (ACT OF BREATHING,LIVING BEING) = 4.111160775377076
  (ACT OF BREATHING,MIND) = 10.258296080476978
  (ACT OF BREATHING,MOOD) = 6.020883835270088
  (ACT OF BREATHING,ONESELF) = 3.0865086690382566
  (ACT OF BREATHING,PAUSE FOR BREATH) = 7.141908700913834
  (ACT OF BREATHING,PRIDE) = 5.07758500716723
  (ACT OF BREATHING,PUFF OF BREATH) = 14.694253243933426
  (ACT OF BREATHING,SCENT) = 7.184086509335085
  (ACT OF BREATHING,SELF) = 6.279044902499946
  (ACT OF BREATHING,SOUL) = 8.362551160300518
  (ACT OF BREATHING,SUPERNATURAL BEING) = 4.1492421165334425
  (ACT OF BREATHING,TAKE A REST) = 7.030407252213395
  (ACT OF BREATHING,UTTER) = 2.0971933696317797
  (ACT OF BREATHING,VITAL FORCE) = 12.399883089475338
  (ACT OF BREATHING,WHISPER) = 2.011455054124631
  (AIR OR WIND,BE ON VACATION) = 1.046095216686072
  (AIR OR WIND,BLOW) = 5.007000879360783
  (AIR OR WIND,BLOW (WIND)) = 4.054335756373254
  (AIR OR WIND,BREATHE) = 6.011103035066275
  (AIR OR WIND,COLD AIR) = 1.0100883014347393
  (AIR OR WIND,DIVINE BREATH) = 4.18345391558143
  (AIR OR WIND,GHOST) = 4.006079467155785
  (AIR OR WIND,HEART) = 7.001578252163203
  (AIR OR WIND,INSPIRATION) = 4.149747359520053
  (AIR OR WIND,INTELLIGENCE) = 2.0990272941659422
  (AIR OR WIND,LIFE) = 8.099117477605827
  (AIR OR WIND,LIVING BEING) = 4.003381485066117
  (AIR OR WIND,MIND) = 8.251323298040298
  (AIR OR WIND,MOOD) = 6.109365686321034
  (AIR OR WIND,ONESELF) = 2.0416277618520353
  (AIR OR WIND,PAUSE FOR BREATH) = 3.0957970318895813
  (AIR OR WIND,PRIDE) = 5.094292549784928
  (AIR OR WIND,PUFF OF BREATH) = 8.372096429192782
  (AIR OR WIND,SCENT) = 5.017427462929751
  (AIR OR WIND,SELF) = 5.2247610416581285
  (AIR OR WIND,SOUL) = 6.064959693292108
  (AIR OR WIND,SUPERNATURAL BEING) = 4.057924415396931
  (AIR OR WIND,TAKE A REST) = 3.094992115529264
  (AIR OR WIND,VITAL FORCE) = 8.26260866482294
  (BE ON VACATION,BLOW) = 2.066719907756657
  (BE ON VACATION,BLOW (WIND)) = 1.0184780390979769
  (BE ON VACATION,BREATHE) = 2.049650794416161
  (BE ON VACATION,DIVINE BREATH) = 1.0287196756932426
  (BE ON VACATION,GHOST) = 1.047822175132124
  (BE ON VACATION,HEART) = 1.0088592885888055
  (BE ON VACATION,INSPIRATION) = 1.0419278815655764
  (BE ON VACATION,LIFE) = 2.004038952356986
  (BE ON VACATION,LIVING BEING) = 1.0243303596421691
  (BE ON VACATION,MIND) = 1.0028439102649767
  (BE ON VACATION,MOOD) = 1.0221551833566516
  (BE ON VACATION,PAUSE FOR BREATH) = 2.0202921103599243
  (BE ON VACATION,PRIDE) = 1.0210743981340993
  (BE ON VACATION,PUFF OF BREATH) = 2.08505790771275
  (BE ON VACATION,SCENT) = 2.0854194459339115
  (BE ON VACATION,SOUL) = 1.0397081925494027
  (BE ON VACATION,TAKE A REST) = 2.0138958372093603
  (BE ON VACATION,VITAL FORCE) = 2.0563616954991497
  (BLOW,BLOW (WIND)) = 3.111766033978657
  (BLOW,BREATHE) = 9.253508215696918
  (BLOW,CEASE TO DO) = 1.0448445759293363
  (BLOW,COLD AIR) = 1.02473527337214
  (BLOW,DIVINE BREATH) = 3.044838588555775
  (BLOW,GHOST) = 3.142987019321663
  (BLOW,HEART) = 4.11287072873108
  (BLOW,INSPIRATION) = 3.0452181247630206
  (BLOW,INTELLIGENCE) = 1.0366289899734964
  (BLOW,LIFE) = 7.041500471942281
  (BLOW,LIVING BEING) = 2.0681155200130816
  (BLOW,MIND) = 6.042504688008134
  (BLOW,MOOD) = 3.125306355698874
  (BLOW,ONESELF) = 1.0253631832840377
  (BLOW,PAUSE FOR BREATH) = 5.106558889079176
  (BLOW,PRIDE) = 3.128402967398203
  (BLOW,PUFF OF BREATH) = 8.215390074760299
  (BLOW,SCENT) = 4.0007415665196095
  (BLOW,SELF) = 3.04484832027967
  (BLOW,SOUL) = 4.027745177172511
  (BLOW,SUPERNATURAL BEING) = 2.0083647842220325
  (BLOW,TAKE A REST) = 5.01693280952169
  (BLOW,UTTER) = 2.04475211959571
  (BLOW,VITAL FORCE) = 7.273472538790151
  (BLOW,WHISPER) = 2.0317536213426752
  (BLOW (WIND),BREATHE) = 3.0590831255958157
  (BLOW (WIND),DIVINE BREATH) = 4.122792732421674
  (BLOW (WIND),GHOST) = 2.03678065780165
  (BLOW (WIND),HEART) = 4.000396014911306
  (BLOW (WIND),INSPIRATION) = 4.0725382764838045
  (BLOW (WIND),LIFE) = 4.121869020524567
  (BLOW (WIND),LIVING BEING) = 1.0124813583464176
  (BLOW (WIND),MIND) = 4.160287744563975
  (BLOW (WIND),MOOD) = 3.1438129726616433
  (BLOW (WIND),ONESELF) = 1.00395829614699
  (BLOW (WIND),PAUSE FOR BREATH) = 2.0236605015479032
  (BLOW (WIND),PRIDE) = 3.1177966015632994
  (BLOW (WIND),PUFF OF BREATH) = 4.178068271838798
  (BLOW (WIND),SCENT) = 4.015138623194575
  (BLOW (WIND),SELF) = 2.020073469220047
  (BLOW (WIND),SOUL) = 3.1298936523382777
  (BLOW (WIND),SUPERNATURAL BEING) = 3.054108297392467
  (BLOW (WIND),TAKE A REST) = 2.061413155429046
  (BLOW (WIND),VITAL FORCE) = 4.142060181420183
  (BREATHE,CEASE TO DO) = 1.0291248793591503
  (BREATHE,COLD AIR) = 1.015684597086215
  (BREATHE,DIVINE BREATH) = 3.1435813344022034
  (BREATHE,GHOST) = 3.1329244000119294
  (BREATHE,HEART) = 4.007187729895784
  (BREATHE,INSPIRATION) = 3.000606875804578
  (BREATHE,INTELLIGENCE) = 2.0846344294891184
  (BREATHE,LIFE) = 8.361490297289757
  (BREATHE,LIVING BEING) = 3.087447835739265
  (BREATHE,MIND) = 7.14989957106508
  (BREATHE,MOOD) = 3.04161806059285
  (BREATHE,ONESELF) = 2.095179078619439
  (BREATHE,PAUSE FOR BREATH) = 5.025963899115632
  (BREATHE,PRIDE) = 3.073754181678856
  (BREATHE,PUFF OF BREATH) = 9.317510090751638
  (BREATHE,SCENT) = 4.000682065507561
  (BREATHE,SELF) = 4.054740048775852
  (BREATHE,SOUL) = 5.196249639900824
  (BREATHE,SUPERNATURAL BEING) = 3.1132352235681253
  (BREATHE,TAKE A REST) = 5.113520749888027
  (BREATHE,UTTER) = 2.0287736718183407
  (BREATHE,VITAL FORCE) = 8.198838153646609
  (BREATHE,WHISPER) = 2.060936412911373
  (CEASE TO DO,LIFE) = 1.0269529351116797
  (CEASE TO DO,PAUSE FOR BREATH) = 1.0458475288584255
  (CEASE TO DO,PUFF OF BREATH) = 1.0149990453685773
  (CEASE TO DO,TAKE A REST) = 1.0131974690429708
  (CEASE TO DO,UTTER) = 1.0227111815928378
  (CEASE TO DO,WHISPER) = 1.0302119400458079
  (COLD AIR,GHOST) = 1.000387979555603
  (COLD AIR,HEART) = 1.036393326770415
  (COLD AIR,INTELLIGENCE) = 1.0136989756749881
  (COLD AIR,LIFE) = 1.0275060393297215
  (COLD AIR,LIVING BEING) = 1.0216863717359836
  (COLD AIR,MIND) = 1.0044113213102772
  (COLD AIR,MOOD) = 1.004236336828456
  (COLD AIR,PUFF OF BREATH) = 1.0191325989920375
  (COLD AIR,SELF) = 1.0073913758740585
  (COLD AIR,SOUL) = 1.0033221816348923
  (COLD AIR,VITAL FORCE) = 1.0117003105413236
  (DIVINE BREATH,GHOST) = 2.0057933129893986
  (DIVINE BREATH,HEART) = 4.15426984766123
  (DIVINE BREATH,INSPIRATION) = 4.065896056036377
  (DIVINE BREATH,LIFE) = 4.046610011630128
  (DIVINE BREATH,LIVING BEING) = 1.004780792761608
  (DIVINE BREATH,MIND) = 4.007312659045512
  (DIVINE BREATH,MOOD) = 3.0531270259976813
  (DIVINE BREATH,ONESELF) = 1.0322218604557132
  (DIVINE BREATH,PAUSE FOR BREATH) = 2.011806273144096
